"corpus","preloaded/notenten17_bokmal_obt2"
"subcorpus","-"
"concordance size","263133"
"query","Query:[ws(1, 102767041)]"
"Reference","Left","KWIC","Right"
"heddaingeborgvik.no","liker jeg designet veldig godt, spesielt etter jeg fikk endret skrift . etter hvert vil vi stå nesten helt fritt til å","endre","<coll>designet</coll> selv, så det blir bra! vet forresten at Bloglovin ikke fungerer, og UB-teamet jobber febrilsk for å finne ut"
"onlinespilleautomater.com","til å drive casinospill på nett, og man er derfor sikret at alt foregår på en skikkelig og redelig måte. </s><s> Betsafe har","endret","sin <coll>velkomstbonus</coll> for nye kunder og som ny spiller i casinoet kan du nå nyte godt av to forskjellige bonuser, og du velger"
"arrvev.no","kartene som lå på fetterens arbeidsbord: fetteren forklarte ham da hva det var og viste ham hvordan bildet av <coll>verden</coll> var","endret","etter oppdagelsen av Amerika og handelsmenns virksomhet rundt om i verden. 1 han fikk med andre ord en kort innføring i"
"arrvev.no","til å trykke Saunders opprinnelige tekst sammen med tre brev mellom dronning Elizabeth og sultan Murad 3. har Hakluyt","endret","den opprinnelige <coll>fortellingen</coll> fra å ha en tradisjonell kristen moral til å bli en fortelling om internasjonal"
"arrvev.no",". </s><s> Schleck konkluderer med at selv om forskerne er enige om at Hakluyt var en svært forsiktig redaktør som i liten grad","endret","<coll>fortellingene</coll> han gjenopptrykket, viser hennes analyse av denne spesifikke teksten at selv om de redaksjonelle"
"arrvev.no","på Hakluyts fremstilling av India i de to utgavene av Principal Navigations og viser at fortellingen om <coll>India</coll>","endres",", og understreker dermed viktigheten av å lese de to utgavene parallelt . innledningsvis peker hun imidlertid på et"
"energibransjen.no","på Vestlandet fra Sauda og nordover til Nordfjord ble satt til stram torsdag sist uke. </s><s> Midt-Norges <coll>status</coll> ble","endret","fra normal til stram tirsdag denne uka. </s><s> Statnett er ansvarlig for den løpende vurderingen av kraftsituasjonen. </s><s> -"
"24sevenoffice.com","på forhånd . uavhengig av hvilken modus du velger kan du tilpasse kolonnene ved å legge til og fjerne kolonner, samt","endre","<coll>rekkefølge</coll> på kolonnene. </s><s> for å legge til eller fjerne kolonner klikker man på symbolet som ligner på et tannhjul og som"
"24sevenoffice.com","bilag i eksternt vindu, for så å gå videre til neste bilag, så er det dette bilaget som vises i bildevinduet. </s><s> man kan også","endre","<coll>bildemodus</coll> fra ""normal"" til ""eksternt"" ved å klikke på knappen ""Bildemodus"" i menylinjen. </s><s> Bildeplassering Man kan"
"dramatiker.no","? </s><s> oi . hva skal man svare på dette? la meg få trekke fram to norske dramaproduksjoner av litteratur som har","endret","<coll>synet</coll> mitt på hva jeg trodde de handlet om . det ene er Fuglane av Vesaas med Nils Sletta på Det norske teater . jeg trodde"
"legeutdanning.no","har i flere generasjoner vært en hjørnestein i den praktiske opplæringen av leger i Norge . nå foreslår myndighetene å","endre","dagens <coll>ordning</coll> . </s><s> Troms fylkesting frykter dette vil gi færre og dårligere leger i Distrikts-Norge. </s><s> "" les mer </s>"
"nffa.no","i NSAF har blinket ut deklarasjonsskjemaet som en av hovedsakene som det ... </s><s> Stortinget vedtok 13. februar 2003 å","endre","forurensningslovens <coll>avfallsdefinisjoner</coll> fra forbruks- og produksjonsavfall til nærings- og husholdningsavfall"
"expressgym.no","avbestilles senest én time før timen begynner. </s><s> her kan du logge inn for å se status på ditt medlemskap og betalinger,","endre","<coll>personopplysninger</coll> samt booke gruppetimer . her finner du også en meldingsfunksjon der du kan sende oss"
"radikalportal.no","sentralbyrå med tittel ""helse og omsorg"" står det: ""framveksten av fagområdet prehospital akuttmedisin har","endret","<coll>ambulansefaget</coll> fra å være et transportyrke til et helsefag. </s><s> "" har utviklingen skjedd som følge av et voksende behov for"
"nettbladet.com",", og i den forbindelse sendt ut en epost til alle AdSense-utgivere. </s><s> Eposen fra Google sier at AdSense-utgivere må","endre","<coll>personvernspolicy</coll> på sine nettsteder, fordi Google har begynt å samle inn informasjon for å servere relevante"
"blogspot.no","noe med den lengste av listene (den har nådd en størrelse som er uheldig teknisk) så det blir nå tre norske lister . jeg","endrer","også hele <coll>oppsettet</coll> til fire kolonner, og dermed blir det fler høyt oppe på siden, men om det blir mer lesbart får vi se. </s>"
"villroser.com","Galaasen som likevel stilte som benkeforslag etter en slik ufyselig maktdemonstrasjon </s><s> En annen sak er at FO valgte å","endre","<coll>vedtektene</coll> sine, slik at det jeg synes var det fineste med FO ble borte. </s><s> jeg synes organisasjonskartet har vært"
"concept2.no","PM4 ble avviklet av produsenten . for å bruke en annen mikroprosessor, trengte Concept2 å omstrukturere PM4 . dette","endret","ikke <coll>funksjonalitet</coll> mellom PM4 med ulike mikroprosessorer, men det trengte frem en ny firmware versjon. </s><s> de første PM4"
"blogspot.no","det er ny katalog!! jeg gjentar om du ikke fikk det med deg: det er ny katalog!!! med nye lekre farger og <coll>duppeditter</coll> som er","endret","akkurat nok til at man bare mÅ ha den nyeste modellen . side på side med fine flotte saker som frister . igjen, jeg sier"
"lilalife.no","og jeg er enig med deg at dette overhode ikke er svart/hvitt . det som kan være frustrerende for mange er at de prøver å","endre","<coll>matvanene</coll> sine, men med motstridende meninger på alle kanter kan det være vanskelig. </s><s> men uansett hvis man gjør grep med"
"serendipitycat.no","hele tiden få beskjed om å måtte endre seg selv for å ""passe inn"". men kanskje kan man bruke seg selv og hverandre for å","endre","<coll>samfunnet</coll> ?? </s><s> interessant at du sier at du har møtt mange forskjellige mennesker gjennom bloggsamfunnet . slik føler"
"serendipitycat.no","noe med hjernen min. </s><s> når jeg blir frisk håper jeg å kunne jobbe med noe som gir folk tilbake troa på seg selv, og lyst til å","endre","viktige <coll>ting</coll> i samfunnet. </s><s> takk for fine ord, Cathrine! vi har fått et overfladisk samfunn, som har begynt å kjøre over"
"zuna.no","og tanke hver dag, og forvente å se endringer i livet ditt . livet ditt vil endre seg i den grad dine handlinger og <coll>tanker</coll>","endres",". </s><s> 9 . kunnskap kommer gjennom erfaring </s><s> ""informasjon er ikke det samme som kunnskap . den eneste kilden til kunnskap,"
"jegernes.no","av at nødvergeretten er en symbolsk lov som er formulert slik at den ikke kan praktiseres . her bør <coll>lovteksten</coll>","endres","slik at man føler en reell rett til å beskytte husdyr eller hund når det oppstår fare . individer som felles under å"
"bioteknologiradet.no","etiske normer i det norske samfunnet . ordningen med en etisk patentnemnd ble innført i 2004 da <coll>patentloven</coll> ble","endret","for å gjennomføre et EU-direktiv om rettslig vern av bioteknologiske oppfinnelser (direktiv 98/44/EF, ofte omtalt"
"blogspot.no","vil bringe til Orklas lederbord hva gjelder ledelse og utvikling av merkevarer, er høyst uklart. </s><s> i sum har jeg nå","endret","<coll>syn</coll> på Orkla: fra positiv til sterkt avventende . mens den strategiske retningen er riktig, kan det vise seg at styret"
"frittordkonkurransen.no","som sitater, sitater som du kommenterer, analyserer og behandler på din egen måte . den andre måten å gjøre det på, er å","endre","<coll>lyd</coll> , video, bilder så mye at produksjonen fremstår som et eget selvstendig verk . da er det du som har opphavsretten"
"iexcelbooks.no","hver lønnstager hver måned da de baserer seg på den enkeltes innsalg . prøvde å legge inn grunnlaget i det gule feltet og","endre","<coll>satsen</coll> til 1, men når jeg registrerer dette på ansatt 101, og deretter skifter til lønnstager 102, følger tallene med ?? </s>"
