"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","95159"
"query","Query:[ws(1, 17276161)]"
"Reference","Left","KWIC","Right"
"ks.no","den aktuelle kandidaten for nye fire år eller for en kortere periode. </s><s> Det bør unngås at mer enn en tredel av <coll>rådet</coll>","skiftes","ut årlig. </s><s> 5. </s><s> Sekretariat og møteplan </s><s> KS er KommIT-rådets sekretariat. </s><s> KommIT-rådet skal avholde seks til syv møter"
"lo.no","rundt er Gare Bruxelles-Nord . Toget bruker ca 16 minutter fra flyplassen til Gare Nord. </s><s> Togene kan være forsinket og","skifte","<coll>plattform</coll> . </s><s> Følg derfor nøye med på rutetavlen. </s><s> Transport i sentrum </s><s> Avtandene mellom institusjonene, hotell og andre"
"l2.no","understøttes av presise detaljer. </s><s> Stålet er grålakkert og overflaten på brubanen er i lys betong. </s><s> Kunstlyset","skifter","<coll>farge</coll> over døgnet. </s><s> Åpning av nybygg K2 for Høgskulen på Vestlandet </s><s> Nyhet </s><s> I forrige uke ble nybygget K2 for Høgskulen på"
"em.no",", og erfaringene har vært av det varierende slaget... </s><s> Men denne gangen var leveransen slik jeg vil ha det! </s><s> Jeg skulle","skifte","elektrisk <coll>anlegg</coll> , og fikk god informasjon om omfanget på jobben og hva det totalt ville koste.( </s><s> et annet firma hadde en"
"4b.no","Akerselva som bukter seg gjennom området. </s><s> Dermed er det opp til deg om du vil innover i Marka, eller se hvordan Akerselva","skifter","<coll>ansikt</coll> på vei ned mot utløpet i Bjørvika. </s><s> I en slik omgivelse, som er rekreasjonsområde for tusenvis av mennesker, er"
"fn.no",". </s><s> Da dårlig styrte statlige selskaper og planøkonomi holdt på å føre til økonomisk sammenbrudd på 1980-tallet,","skiftet","<coll>landet</coll> til en markedsøkonomi. </s><s> Samtidig brøt landet de nære båndene til andre kommunistiske land, og åpnet for mer"
"fn.no","i 1960, og siden har landet blitt styrt av flere militære regimer. </s><s> I 1983 gjennomførte Thomas Sankara et militærkupp og","skiftet","landets <coll>navn</coll> fra Øvre Volta til Burkina Faso, som betyr ""de ærlige menns land"". </s><s> Sankara ble ansett som en folkelig og"
"ka.no","av departementet, får forvalterne nå ett system hvor alle eiendomselementene finnes. </s><s> Databasen vil muligens","skifte","<coll>navn</coll> etter hvert, men foreløpig heter den Kirkebyggdatabasen. </s><s> Er gravplassdatabasen et separat database? </s>"
"4b.no","Cafe Løwe. </s><s> Utførelsene preges av spiler i oljet eik, som gir publikumsområdene er lyst og vennlig preg. </s><s> I tillegg har vi","skiftet","<coll>stolene</coll> i hovedsalen, og rehabilitert hoveddørene i messing. </s><s> Det siste året har vi også blitt involvert i"
"ge.no","når du skal velge strømleverandør - og ikke gå for avtaler med forskuddsbetaling. </s><s> Det koster ingen ting å","skifte","<coll>strømleverandør</coll> , og du kan skifte så ofte du måtte ønske. </s><s> Sjekk Konkurransetilsynets kraftprisoversikt for de beste"
"ge.no","ett år. </s><s> Kraftprisoversikten viser avtaler med 1 og 3 års varighet. </s><s> I perioden hvor avtalen gjelder kan du som kunde ikke","skifte","<coll>leverandør</coll> . </s><s> Les mer om fastprisavtale hos Konkurransetilsynet. </s><s> Markedspris/spot </s><s> Markedskraft-/spotprisavtale"
"dn.no",", utarbeides ny logo, byttes om til nye skilt og tilpasses ny nettdesign. </s><s> – Har dere noe tall på hva det koster å","skifte","<coll>navn</coll> ? </s><s> – Når vi nå skifter navn til Statoil og lanserer en ny visuell profil, så koster det cirka 200 millioner kroner på"
"dn.no","ny logo, byttes om til nye skilt og tilpasses ny nettdesign. </s><s> – Har dere noe tall på hva det koster å skifte navn? </s><s> – Når vi nå","skifter","<coll>navn</coll> til Statoil og lanserer en ny visuell profil, så koster det cirka 200 millioner kroner på verdensbasis. </s><s> Dette er"
"dn.no","2,7 og 3,6 milliarder kroner. </s><s> – Dette var nok et anslag som var basert på gale forutsetninger. </s><s> Det var ikke aktuelt å","skifte","<coll>profil</coll> på bensinstasjonene, verken da eller nå. </s><s> Å bytte navn og profil på bensinstasjonene ville kostet rundt to"
"yr.no","ned er det bare det blå lyset som når frem til oss. </s><s> De blå lyspartiklene oppfører seg nemlig annerledes enn de røde og kan","skifte","<coll>retning</coll> undervegs, forklarer Hansteen. </s><s> – Det er akkurat som baller du kaster i veggen. </s><s> De blå partiklene treffer"
"io.no","som et Aksjeselskap. </s><s> Lab1 AS driver i bransjen ""Naturvitenskap - Forskning"". </s><s> Foretaket har 10 registrerte ansatte. </s><s>","Skifte","Terje <coll>AS</coll> holder til på besøksadressen Kleivi Næringspark, 3570 Ål. </s><s> Foretaket ble startet i 1985-02-14 og registrert i"
"tu.no",". </s><s> NTNU-professoren ser for seg at de bare ved å tenke kan gjøre det mulig for eksempel å styre en rullestol, åpne vinduer,","skifte","<coll>kanal</coll> på TV-en og sjekke temperaturen. </s><s> Mulighetene er mange, selv om hun regner med at dette ligger et stykke fram i tid. </s>"
"tu.no","etater på mange steder, slik som i Prinsensgate, hvor hele veglegemet skal fornyes og alle slags rør og kabler i <coll>bakken</coll>","skiftes","ut. </s><s> I Prinsensgate er det det et godt samarbeid i gang mellom Bymiljøetaten, Sporveien, Ruter og Oslo Vognselskap. </s><s> Det"
"tu.no","materialvalgene. </s><s> Vi liker også at sagen har en børsteløs motor. </s><s> En slik varer som regel lenger og man slipper bryet med å","skifte","<coll>kullbørster</coll> . </s><s> Tynt blad </s><s> Sagen har et svært tynt blad med masse tenner. </s><s> Vi trodde det skulle gjøre sagjobben letter ved at"
"tu.no","kun kjøre på fornybar energi, og elektriske busser vil være et viktig virkemiddel. </s><s> Fra 2025 vil alle <coll>bussene</coll> være","skiftet","ut med nye basert på strøm, biogass eller annet biodrivstoff. </s><s> Målet er at 60 prosent av bussflåten i Oslo på det"
"tu.no","med tidsforsinkelse. </s><s> Siden det er grenser for hvor stort fysisk areal guardintervallene kan beskytte, må man","skifte","<coll>frekvens</coll> i naboområdene og således benytte flere frekvenskanaler for å oppnå riksdekning av et multipleks. </s><s> Men det"
"tu.no","romskipet har sett, påpeker Lockwood. </s><s> U-sving </s><s> Målingene viste noen særdeles spesielle tendenser. </s><s> På 1980-tallet","skiftet","nemlig alle solaktivitetskurvene <coll>retning</coll> . </s><s> – Et eller annet sted mellom 1985 og 1987 gikk alle solfaktorene som kunne"
"tu.no","ved Aker Solutions. </s><s> Han mener at det blir for enkelt å avfeie en arbeidssøker basert på at personen har","skiftet","<coll>jobb</coll> flere ganger. </s><s> – Mennesker befinner seg i ulike livssituasjoner. </s><s> Det blir litt bombastisk å si at personen ikke"
"tu.no","du: ""Hello ID, I''m cold"", svarer damestemmen ""No problem, it will get warmer shortly"" og justerer temperaturen. </s><s> Vil du","skifte","<coll>radiokanal</coll> , kan du si ""Play Energy radio station"", og det skjer. </s><s> Eneste utfordring vi opplevde med"
"tu.no","del av det. </s><s> Jo lenger tid det tar, jo mer energi må brukes, og jo lenger må produksjonslinjen være. </s><s> Mange bekker små </s><s> Å","skifte","<coll>bindemiddel</coll> til noe mer miljøvennlig er høres kanskje ikke så viktig ut i seg selv, men mange små forbedringer kan i sum"
"kk.no",". </s><s> Opprinnelig studerte hun for å bli sykepleier, men ekstrajobben som ringevikar for autister var så givende at hun","skiftet","<coll>studium</coll> . </s><s> Men når moteukene begynner rundt i verden, da starter Rawdahs parallelle liv. </s><s> Da sitter hun på første rad,"
"tu.no","inne i ISS. </s><s> Gods overføres. </s><s> Fra Dag 4 utføres omfattende EVA (Extra Vehicular Activity) utenfor fergen og ISS, <coll>deler</coll>","skiftes","ut og repareres, medbrakt gods plasseres i ISS'' MPLM (multi purpose logistics module). </s><s> Slik går det slag i slag i tolv"
"kk.no","i etterkant synes det er tøft å tenke tilbake på, var at hun ikke turte ta seg av babyen sin. </s><s> – Jeg verken badet, matet eller","skiftet","<coll>bleie</coll> på ham. </s><s> Mannen min måtte gjøre alt det i begynnelsen. </s><s> Samtidig ville jeg være nær dem. </s><s> Jeg hadde behov for å ha dem"
"tu.no","ikke går fysisk gjennom lageret, vil det gi rystelser som påvirker oljeanlegget. </s><s> Derfor må gamle rør og <coll>røroppheng</coll>","skiftes",". </s><s> Ifølge brevet fra oljeselskapene må hele lageret i perioder tas ut av drift i forbindelse med arbeidet. </s><s> Senker"
"kk.no","siden hun var 16 år. </s><s> Men ifølge henne selv har hun og Northwood slitt med håret hennes i lang tid nå. </s><s> - Etter at jeg fikk barn","skiftet","<coll>håret</coll> mitt farge, tekstur og mye av det ble så slitt at det knakk av. </s><s> Det har tatt så lang tid å få det tilbake slik det var. </s>"
"tu.no","Bent Kaae som styreleder og daglig leder i MT Entreprenør, tidligere BB Entreprenør og BBS Entreprenør. 23. april","skiftet","selskapet <coll>navn</coll> for tredje gang til det generiske Bygg Entreprenør. </s><s> Rivingen av Y-blokka har startet. </s><s> Men på"
"tu.no","synkronisere din personlige ordliste mot Google-kontoen din, slik at den ikke trenger å lære deg å kjenne på nytt når du","skifter","<coll>telefon</coll> eller veksler mellom mobil og nettbrett. </s><s> Swiftkey finner du på Google Play. </s><s> Det er gratis første måned. </s><s> Vil du"
"tu.no","har funksjonshemminger er selvsagt talekontroller veldig nyttig. </s><s> Men å snakke til telefonen for å sende meldinger,","skifte","<coll>sang</coll> , søke på nettet og slikt? </s><s> Er det ikke det vi har fingrene til? </s><s> Å gå rundt og prate til mobilen ute blant folk føles i"
"tu.no","å slutte tidligere. </s><s> – Det er ikke sikkert at arbeidsgiveren er tjent med å holde igjen en arbeidstaker, som ofte har","skiftet","<coll>fokus</coll> til den nye jobben og mistet noe av motivasjonen for den gamle. </s><s> Det gir kanskje ikke mest valuta for pengene. </s>"
"tu.no","Jagtøyen. </s><s> Havari av store lagre og roterende utstyr i vindturbiner er svært kostbart. </s><s> I verste fall må hele <coll>nacellen</coll>","skiftes","ut. </s><s> Nedetiden kan bli lang og reparasjonen dyr. </s><s> – Fra fornybarsektoren har vi lært veldig mye om metaller og hvilke"
"kk.no",". </s><s> Jeg har valgt å fortelle om angsten til hele Norge, men det holder å fortelle det til de nærmeste. </s><s> Skift fokus Prøv å","skifte","<coll>fokus</coll> når du kjenner at du får anfall. </s><s> Husk at angsten ikke er farlig. </s><s> Jeg prøver ofte å se på Disney-filmer, eller noe"
"kk.no","en dårlig unnskyldning. </s><s> Humor er helsebringende når den brukes med empati. </s><s> Fokus på humor og latter bidrar både til å","skifte","<coll>perspektiv</coll> og å se det humoristiske i situasjonen. </s><s> Latteren gir mening til det meningsløse. </s><s> I bunn og grunn handler det"
"tu.no",". </s><s> Borekronene de bruker har en levetid på 50-60 timer. </s><s> Når de blir utslitt, må hele borestrengen heises opp for å","skifte","<coll>kronen</coll> . </s><s> IODP-forskerne håper å hente opp de første prøvene fra mantelen først etter år 2020. </s><s> – Det er veldig vanskelig"
"nb.no","i Almindelighed"". </s><s> I kunngjøringen nevnes at både ""Courierer"" og andre reisende har overtrådt skyssreglene ved ikke å","skifte","<coll>hest</coll> ved hver skysstasjon. </s><s> Samtlige gjestgivere og skysskaffere får beskjed om at de ""under strængeste Ansvar"" må"
"nb.no",". </s><s> Om supprimering av det første trykk av Novembergrunnloven, se nr. 915. </s><s> Etter at to blad i <coll>førstetrykket</coll> var","skiftet","ut, ble den rettede utgaven (916) antagelig nokså snart ferdig,iallfall i tilstrekkelig antall til bruk for"
"nb.no","31.12. tok inn Johan Storm Munchs dikt, ""Nordens Forening"" (se nr. 1008 og 1009). </s><s> ""Tiden""s redaktør var ikke alene om å","skifte","<coll>standpunkt</coll> i 1814, men på grunn av hans stilling i landets fremste avis, kom hans meninger så tydelig frem. </s><s> Carl Johan"
"tu.no","har latt antall ingeniørtimer og kostnader løpe i takt med stigende oljepris. </s><s> Nye ideer </s><s> Det norske, som snart","skifter","<coll>navn</coll> til Aker BP, har organisert seg med en djerv ambisjon om å tenke nytt når det gjelder prosjektplanlegging og"
